samples,richness,evenness,shannon,simpson,inv_simpson,chao1,PD_whole_tree,treatment
P3634,4644,0.533355695,6.496886933,0.99299217,142.6975322,7019.52,147.36816,Treatment 3
N0477,5925,0.46678576,5.850038949,0.984590012,64.89297634,8377.276136,187.40259,Treatment 1
N0539,7208,0.499114121,6.396338767,0.992212203,128.4060175,10298.00561,226.419,Treatment 1
N0873,7248,0.471044769,6.040380056,0.977474346,44.39382729,10550.3677,227.4725,Treatment 1
N0879,7144,0.496759815,6.359775662,0.991820959,122.2637188,10252.82927,219.4814,Treatment 1
N0953,4374,0.431342205,5.21697075,0.971357485,34.91313483,6487.343384,152.15781,Treatment 1
N1131,6178,0.441465676,5.559343772,0.974534838,39.26933656,9309.522356,196.07417,Treatment 1
N1208,5478,0.437372992,5.431924808,0.964897209,28.48776357,7998.630408,175.5931,Treatment 1
N1292,5977,0.475747327,5.968348145,0.98731465,78.8310939,8629.903448,192.33106,Treatment 1
N1304,5499,0.441072188,5.48030146,0.97317322,37.27618415,8107.860437,181.20235,Treatment 1
N1409,6195,0.438039423,5.517933805,0.977050075,43.5731266,9510.902655,200.19502,Treatment 1
N1469,7041,0.48585749,6.210018912,0.989769478,97.74672377,10340.25762,221.5195,Treatment 1
N1475,4894,0.449084347,5.504336305,0.98207896,55.80033406,7598.294737,166.05249,Treatment 1
N1496,7241,0.530020549,6.795909296,0.996311914,271.1433733,10437.5249,228.92636,Treatment 1
n1499,4401,0.438714221,5.310028315,0.967803934,31.05969494,6366.278502,151.85387,Treatment 1
N1506,9642,0.537432214,7.11297808,0.996347829,273.8097685,14123.06835,293.28759,Treatment 1
N1542,3900,0.409800094,4.888611216,0.967772509,31.02940914,5796.815789,132.19986,Treatment 1
O1023,5971,0.460698021,5.778883962,0.983262904,59.74751985,8503.940848,190.82327,Treatment 1
O1040,6607,0.508551459,6.453405939,0.992722581,137.4113495,9350.195364,212.23806,Treatment 1
O1046,6833,0.490985276,6.254319411,0.990182292,101.8567685,8840.226563,218.8301,Treatment 1
O1132,3898,0.466486289,5.564490276,0.97156623,35.16944763,4803.833663,135.87533,Treatment 1
O1144,6356,0.473192684,5.978270663,0.98045995,51.17694178,8826.786517,201.22202,Treatment 1
O1204,3990,0.443009501,5.299356307,0.977270851,43.99636844,5181.998415,130.88299,Treatment 1
O1216,6963,0.471551798,6.019591327,0.982734402,57.91864399,8921.984375,217.60907,Treatment 1
O1264,8024,0.477677842,6.195532187,0.980559758,51.43968832,11209.56022,251.7012,Treatment 1
o1303,5305,0.437333593,5.411188477,0.969497923,32.78465304,7508.867647,171.59562,Treatment 1
O1306,5395,0.445220457,5.519579318,0.974077743,38.57688746,7384.023058,175.03583,Treatment 1
O1309,6161,0.423899883,5.336453932,0.960033674,25.02106375,9161.667366,199.31603,Treatment 1
O1321,5411,0.475347312,5.895105031,0.988819766,89.44356449,7656.296912,182.01511,Treatment 1
O1405,6187,0.456916175,5.754870335,0.983956279,62.32967851,9421.699571,200.6903,Treatment 1
O1481,6741,0.463783077,5.898739573,0.980740802,51.92324195,9909.103448,214.58906,Treatment 1
O1538,7155,0.493737967,6.322184352,0.990036271,100.3640281,10008.73976,226.51237,Treatment 1
O1541,5787,0.467241857,5.839869038,0.985194623,67.54302849,8068.40678,187.59903,Treatment 1
O1547,4757,0.456130679,5.572017716,0.978046398,45.55061111,6010.086342,155.38793,Treatment 1
P0037,6129,0.44847681,5.642482276,0.971894234,35.57988747,9038.943052,190.9303,Treatment 1
P0062,5839,0.470486653,5.886496391,0.985741957,70.13585135,8478.563446,196.80295,Treatment 1
